ID,name,country,is_india_eligible,batting_style,bowling_style,playing_role_clean,is_wicketkeeper,total_T20_matches,t20_runs,t20_batting_avg,t20_strike_rate,t20_fifties_hundreds,t20_boundary_pct,t20_wickets,t20_bowling_avg,t20_economy,t20_bowling_sr,t20i_matches,t20i_runs,t20i_wickets,source_role,has_bowling_data,has_t20_wickets,experience_level,name_normalized,ball_t20_matches_batting,balls_faced,ball_runs_scored,ball_dismissals,ball_batting_average,ball_strike_rate,ball_fours,ball_sixes,ball_boundary_balls,ball_boundary_pct,ball_dot_balls,ball_dot_ball_pct,ball_t20_matches_bowling,balls_bowled,ball_runs_conceded,ball_wickets,ball_bowling_average,ball_economy,ball_bowling_strike_rate,ball_fours_conceded,ball_sixes_conceded,ball_wides,ball_no_balls,ball_wides_per_100,ball_no_balls_per_100,has_ball_batting_data,has_ball_bowling_data,has_verified_ball_data,batting_sample_balls,batting_sample_matches,bowling_sample_balls,bowling_sample_matches,batting_sample_tier,bowling_sample_tier,sufficient_batting_sample,sufficient_bowling_sample,batting_evidence_strength,bowling_evidence_strength,ball_t20_innings,ball_runs_per_innings
37737,Brendon McCullum,New Zealand,False,Right-hand bat,"Right-arm medium, Right-arm offbreak",Wicketkeeper-Batsman,True,370.0,9922.0,29.97,136.49,62.0,0.6657931868574885,0.0,,13.0,,71.0,2140.0,0.0,Batter,1,0,100+ matches,brendon mccullum,109.0,2176.0,2882.0,102.0,28.254901960784313,132.44485294117646,293.0,130.0,423.0,0.19439338235294118,938.0,0.43106617647058826,,,,,,,,,,,,,,1,0,1,2176.0,109.0,0.0,0.0,Strong,No data,1,0,1.0,0.0,109.0,26.440366972477065
42657,Shoaib Malik,Pakistan,False,Right-hand bat,Right-arm offbreak,Batsman,False,345.0,8701.0,36.71,125.05,51.0,0.4879898862199747,136.0,26.57,7.02,22.7,111.0,2263.0,28.0,Batter,1,1,100+ matches,shoaib malik,5.0,46.0,52.0,4.0,13.0,113.04347826086956,5.0,0.0,5.0,0.10869565217391304,14.0,0.30434782608695654,5.0,51.0,85.0,2.0,42.5,10.0,25.5,7.0,3.0,6.0,1.0,11.76470588235294,1.9607843137254901,1,1,1,46.0,5.0,51.0,5.0,Very Small,Very Small,0,0,0.601717664753181,0.6175174017119502,5.0,10.4
219889,David Warner,Australia,False,Left-hand bat,Legbreak,Batsman,False,259.0,8111.0,35.26,142.07,69.0,0.6386388854641845,0.0,,13.0,,70.0,1792.0,0.0,Batter,1,0,100+ matches,david warner,184.0,4680.0,6567.0,158.0,41.563291139240505,140.32051282051282,663.0,236.0,899.0,0.1920940170940171,1713.0,0.366025641025641,1.0,1.0,2.0,0.0,,12.0,,0.0,0.0,1.0,0.0,100.0,0.0,1,1,1,4680.0,184.0,1.0,1.0,Strong,Very Small,1,0,1.0,0.10832802945828221,184.0,35.69021739130435
33335,Suresh Raina,India,True,Left-hand bat,Right-arm offbreak,Batsman,False,303.0,8028.0,33.17,138.72,52.0,0.5834578973592427,53.0,34.6,7.23,28.6,78.0,1605.0,13.0,Batter,1,1,100+ matches,suresh raina,200.0,4025.0,5536.0,162.0,34.17283950617284,137.54037267080744,506.0,204.0,710.0,0.1763975155279503,1334.0,0.3314285714285714,69.0,908.0,1118.0,25.0,44.72,7.387665198237885,36.32,71.0,44.0,22.0,0.0,2.4229074889867843,0.0,1,1,1,4025.0,200.0,908.0,69.0,Strong,Strong,1,1,1.0,1.0,200.0,27.68
253802,Virat Kohli,India,True,Right-hand bat,Right-arm medium,Batsman,False,253.0,7911.0,40.98,133.54,62.0,0.5579572746808241,8.0,82.62,8.73,56.7,67.0,2263.0,4.0,Batter,1,1,100+ matches,virat kohli,268.0,6734.0,9050.0,224.0,40.401785714285715,134.3926343926344,816.0,307.0,1123.0,0.16676566676566676,2209.0,0.32803682803682804,26.0,251.0,368.0,4.0,92.0,8.796812749003983,62.75,24.0,11.0,7.0,6.0,2.788844621513944,2.3904382470119523,1,1,1,6734.0,268.0,251.0,26.0,Strong,Moderate,1,1,1.0,0.8641630145498622,268.0,33.76865671641791
5334,Aaron Finch,Australia,False,Right-hand bat,Slow left-arm orthodox,Batsman,False,253.0,7835.0,35.45,142.5,59.0,0.636375239310785,7.0,48.57,9.23,31.5,52.0,1671.0,0.0,Batter,1,1,100+ matches,aaron finch,90.0,1626.0,2092.0,82.0,25.51219512195122,128.65928659286593,214.0,78.0,292.0,0.1795817958179582,683.0,0.4200492004920049,5.0,43.0,67.0,1.0,67.0,9.348837209302326,43.0,4.0,4.0,1.0,0.0,2.3255813953488373,0.0,1,1,1,1626.0,90.0,43.0,5.0,Strong,Very Small,1,0,1.0,0.5914094692092184,90.0,23.244444444444444
34102,Rohit Sharma,India,True,Right-hand bat,Right-arm offbreak,Batsman,False,299.0,7795.0,32.34,133.4,59.0,0.5962796664528544,29.0,28.17,7.8,21.6,94.0,2331.0,1.0,Batter,1,1,100+ matches,rohit sharma,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,No data,No data,0,0,0.0,0.0,,
5674,Brad Hodge,Australia,False,Right-hand bat,Right-arm offbreak,Batsman,False,277.0,7406.0,36.84,131.28,50.0,0.5838509316770186,65.0,22.32,7.8,17.1,15.0,183.0,1.0,Batter,1,1,100+ matches,brad hodge,63.0,1112.0,1400.0,41.0,34.146341463414636,125.89928057553956,122.0,43.0,165.0,0.14838129496402877,399.0,0.35881294964028776,20.0,234.0,303.0,17.0,17.823529411764707,7.76923076923077,13.764705882352942,17.0,14.0,4.0,0.0,1.7094017094017095,0.0,1,1,1,1112.0,63.0,234.0,20.0,Strong,Moderate,1,1,1.0,0.8532475598161523,63.0,22.22222222222222
44936,AB de Villiers,South Africa,False,Right-hand bat,Right-arm medium,Wicketkeeper-Batsman,True,275.0,7405.0,35.94,148.24,52.0,0.6014854827819042,0.0,,,,78.0,1672.0,0.0,Batter,0,0,100+ matches,ab de villiers,170.0,3400.0,5181.0,122.0,42.467213114754095,152.3823529411765,414.0,253.0,667.0,0.19617647058823529,1039.0,0.30558823529411766,,,,,,,,,,,,,,1,0,1,3400.0,170.0,0.0,0.0,Strong,No data,1,0,1.0,0.0,170.0,30.476470588235294
50710,Kumar Sangakkara,Sri Lanka,False,Left-hand bat,Right-arm offbreak,Wicketkeeper-Batsman,True,264.0,6850.0,29.27,126.45,42.0,0.5465693430656934,0.0,,,,56.0,1382.0,0.0,Batter,0,0,100+ matches,kumar sangakkara,68.0,1385.0,1687.0,65.0,25.953846153846154,121.80505415162455,195.0,27.0,222.0,0.16028880866425993,515.0,0.37184115523465705,,,,,,,,,,,,,,1,0,1,1385.0,68.0,0.0,0.0,Strong,No data,1,0,1.0,0.0,68.0,24.808823529411764
28235,Shikhar Dhawan,India,True,Left-hand bat,Right-arm offbreak,Batsman,False,227.0,6408.0,32.04,123.39,48.0,0.5911360799001248,4.0,16.5,8.25,12.0,50.0,1310.0,0.0,Batter,1,1,100+ matches,shikhar dhawan,221.0,5304.0,6769.0,187.0,36.19786096256684,127.6206636500754,768.0,153.0,921.0,0.17364253393665158,1970.0,0.37141779788838614,6.0,48.0,66.0,4.0,16.5,8.25,12.0,7.0,3.0,1.0,0.0,2.083333333333333,0.0,1,1,1,5304.0,221.0,48.0,6.0,Strong,Very Small,1,0,1.0,0.6082304533930194,221.0,30.6289592760181
28763,Gautam Gambhir,India,True,Left-hand bat,Legbreak,Batsman,False,251.0,6402.0,28.96,120.58,53.0,0.5510777881911902,0.0,,,,37.0,932.0,0.0,Batter,0,0,100+ matches,gautam gambhir,151.0,3394.0,4217.0,128.0,32.9453125,124.2486741308191,492.0,59.0,551.0,0.16234531526222745,1235.0,0.363877430760165,,,,,,,,,,,,,,1,0,1,3394.0,151.0,0.0,0.0,Strong,No data,1,0,1.0,0.0,151.0,27.927152317880793
