venue_standard,matches,total_runs,total_wickets,total_balls,runs_per_ball,runs_per_over,wickets_per_match,boundary_pct,six_pct,batting_first_win_pct,chasing_win_pct,avg_first_innings_runs,avg_second_innings_runs,avg_first_innings_wickets,avg_second_innings_wickets,venue_experience,venue_reliability
Arun Jaitley Stadium,41,14804.0,488,9929,1.4909860006042905,8.945916003625744,11.902439024390244,0.19951656763017422,0.07110484439520597,51.28205128205128,48.717948717948715,187.1951219512195,172.8780487804878,5.7560975609756095,6.048780487804878,High,1.0
Barabati Stadium,7,2278.0,80,1695,1.343952802359882,8.063716814159292,11.428571428571429,0.16696165191740414,0.040117994100294985,57.14285714285714,42.857142857142854,167.71428571428572,157.71428571428572,6.0,5.428571428571429,Low,0.23333333333333334
"Barsapara Cricket Stadium, Guwahati",8,2612.0,101,1799,1.451917732073374,8.711506392440244,12.625,0.19066147859922178,0.061145080600333516,50.0,50.0,168.875,157.625,7.125,5.5,Low,0.26666666666666666
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",26,8552.0,321,6194,1.3806909912818857,8.284145947691314,12.346153846153847,0.17113335485954148,0.05440749112043913,41.66666666666667,58.333333333333336,172.19230769230768,162.8,6.653846153846154,5.84,Medium,0.8666666666666667
Brabourne Stadium,27,9305.0,331,6526,1.4258351210542446,8.555010726325467,12.25925925925926,0.185105730922464,0.05102666258044744,51.85185185185185,48.148148148148145,178.5185185185185,166.11111111111111,6.185185185185185,6.074074074074074,Medium,0.9
Buffalo Park,3,799.0,38,715,1.1174825174825176,6.7048951048951055,12.666666666666666,0.11608391608391608,0.03776223776223776,66.66666666666666,33.33333333333333,147.33333333333334,119.0,6.333333333333333,6.333333333333333,Very Low,0.1
De Beers Diamond Oval,3,897.0,39,726,1.2355371900826446,7.413223140495868,13.0,0.1322314049586777,0.046831955922865015,33.33333333333333,66.66666666666666,158.0,141.0,6.333333333333333,6.666666666666667,Very Low,0.1
Dr DY Patil Sports Academy,37,11383.0,470,8898,1.2792762418521015,7.67565745111261,12.702702702702704,0.1539671836367723,0.05147224095302315,45.94594594594595,54.054054054054056,159.64864864864865,148.0,6.594594594594595,6.108108108108108,High,1.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17,5295.0,221,4000,1.32375,7.9425,13.0,0.1645,0.061,52.94117647058824,47.05882352941176,169.52941176470588,141.94117647058823,6.588235294117647,6.411764705882353,Medium,0.5666666666666667
Dubai International Cricket Stadium,46,14450.0,545,11229,1.286846558019414,7.721079348116484,11.847826086956522,0.14996883070620715,0.04408228693561315,48.837209302325576,51.162790697674424,163.7608695652174,149.08695652173913,5.760869565217392,5.934782608695652,High,1.0
Eden Gardens,104,33315.0,1195,24198,1.3767666749318126,8.260600049590876,11.490384615384615,0.18084139185056616,0.05583106041821638,44.11764705882353,55.88235294117647,167.7596153846154,154.05825242718447,6.153846153846154,5.388349514563107,Very High,1.0
Feroz Shah Kotla,60,18421.0,697,13950,1.3205017921146953,7.923010752688172,11.616666666666667,0.1645878136200717,0.04559139784946237,47.45762711864407,52.54237288135594,161.63333333333333,147.84745762711864,6.0,5.711864406779661,High,1.0
Green Park,4,1298.0,49,921,1.4093376764386536,8.456026058631922,12.25,0.20304017372421282,0.03908794788273615,0.0,100.0,161.25,163.25,7.75,4.5,Very Low,0.13333333333333333
Himachal Pradesh Cricket Association Stadium,15,4969.0,173,3457,1.4373734451836853,8.624240671102111,11.533333333333333,0.20248770610355799,0.06306045704367949,64.28571428571429,35.714285714285715,183.13333333333333,158.71428571428572,4.8,7.214285714285714,Medium,0.5
Holkar Cricket Stadium,9,2872.0,92,1965,1.4615776081424936,8.769465648854961,10.222222222222221,0.19185750636132315,0.07888040712468193,11.11111111111111,88.88888888888889,160.33333333333334,158.77777777777777,6.888888888888889,3.3333333333333335,Low,0.3
JSCA International Stadium Complex,7,2056.0,81,1671,1.2304009575104728,7.382405745062837,11.571428571428571,0.13764213046080193,0.045481747456612806,28.57142857142857,71.42857142857143,149.0,144.71428571428572,5.571428571428571,6.0,Low,0.23333333333333334
Kingsmead,15,4353.0,201,3643,1.1948943178698874,7.1693659072193245,13.4,0.13477902827340105,0.03568487510293714,60.0,40.0,152.0,138.2,7.133333333333334,6.266666666666667,Medium,0.5
M Chinnaswamy Stadium,104,34320.0,1222,24128,1.4224137931034482,8.534482758620689,11.75,0.18501326259946949,0.06610576923076923,44.0,56.00000000000001,174.05769230769232,157.20388349514562,6.163461538461538,5.621359223300971,Very High,1.0
MA Chidambaram Stadium,95,30097.0,1149,23118,1.3018859762955273,7.811315857773163,12.094736842105263,0.15226230642789168,0.046154511635954666,54.83870967741935,45.16129032258064,165.0842105263158,151.3684210526316,6.073684210526316,5.989473684210527,Very High,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,3184.0,144,2313,1.3765672287073065,8.259403372243838,14.4,0.17163856463467358,0.058798097708603544,50.0,50.0,163.0,155.4,7.9,6.5,Low,0.3333333333333333
