feature,mean_abs_shap,rank
pre_recent5_batting_runs,0.008606764439944212,1
pre_batting_runs,0.008392727420941003,2
pre_team_batting_runs,0.006197269263642759,3
pre_recent5_bowling_balls,0.005253024480381152,4
is_india_eligible_x,0.005155028908019309,5
pre_recent5_bowling_economy,0.0036189022843927917,6
pre_bowling_economy,0.0029280020092283554,7
pre_recent5_batting_balls,0.0028469073784275125,8
pre_team_matches,0.00238089155871586,9
country,0.001966401805184831,10
pre_team_days_since_last_match,0.0018344398846060425,11
pre_recent5_venue_avg_runs,0.0017270754669656628,12
pre_bowling_wickets,0.0015362265322146772,13
pre_team_bowling_economy,0.0015330522170311418,14
pre_days_since_last_match,0.001503131758754822,15
pre_opponent_match_count,0.001281946096884073,16
pre_batting_balls,0.001217888257550599,17
opponent_team_id,0.0011578120405392623,18
pre_player_matches,0.0011494124816644944,19
playing_role_clean,0.0011241877337203857,20
pre_team_match_count,0.0010933531447531197,21
pre_team_batting_strike_rate,0.0010780709344196107,22
pre_player_team_matches,0.0010280907009065053,23
pre_batting_innings,0.0009374552973841433,24
pre_recent5_venue_avg_wickets,0.0008838559569633597,25
pre_batting_strike_rate,0.0008287058985257555,26
pre_season_team_matches,0.0006967061419919556,27
pre_recent5_bowling_runs,0.0006865187858173809,28
pre_venue_avg_runs,0.00064066247797651,29
pre_player_team_usage_rate,0.0006323281078397736,30
team_id,0.0005677212689356954,31
pre_bowling_innings,0.0004985980676060551,32
pre_team_bowling_balls,0.0004904517837342972,33
bowling_style,0.0004885638210332446,34
pre_team_bowling_runs,0.00048122211644755126,35
pre_venue_match_count,0.0004634246499372729,36
pre_team_vs_opponent_matches,0.000452536239882336,37
pre_team_bowling_wickets,0.000390756095939829,38
pre_team_batting_balls,0.0003755658719156121,39
pre_recent5_batting_strike_rate,0.00030655106336707354,40
pre_team_batting_innings,0.0002655165251287724,41
season_days_elapsed,0.0002261530265701574,42
source_role,0.00018855777081840645,43
season,0.00016341051825181452,44
pre_team_venue_matches,0.00015144472484185934,45
pre_bowling_runs,0.00015019523667391188,46
pre_bowling_balls,0.00010061866230448036,47
pre_venue_avg_wickets,9.997861647311287e-05,48
venue_standard,8.613924913461116e-05,49
pre_bowling_average,7.016218890388302e-05,50
pre_season_opponent_matches,5.924884524535626e-05,51
batting_style,5.800309530819041e-05,52
city,4.062359872250463e-05,53
pre_team_bowling_innings,1.7814940911921333e-05,54
is_wicketkeeper_x,1.2606246731291193e-05,55
is_wicketkeeper_y,0.0,56
pre_has_recent5_history,0.0,57
pre_has_team_batting_history,0.0,58
pre_has_team_bowling_history,0.0,59
pre_has_bowling_history,0.0,60
pre_has_batting_history,0.0,61
pre_recent5_bowling_wickets,0.0,62
is_india_eligible_y,0.0,63
