country,player_count
India,964
Sri Lanka,605
England,558
South Africa,496
Pakistan,442
West Indies,330
Australia,306
New Zealand,213
Bangladesh,150
Zimbabwe,110
Ireland,69
Afghanistan,63
United Arab Emirates,54
Canada,49
Scotland,43
Netherlands,37
Bermuda,37
Namibia,35
Hong Kong,33
Kenya,32
United States of America,28
Papua New Guinea,27
Nepal,27
Oman,22
Uganda,19
Denmark,11
Bahamas,9
Cayman Islands,9
Qatar,7
Bahrain,6
Italy,5
Saudi Arabia,5
Jersey,5
Malaysia,4
Kuwait,3
Maldives,3
Vanuatu,2
Nigeria,2
Rwanda,2
Thailand,2
Germany,1
Suriname,1
Turks and Caicos Islands,1
